language,rank,repo,skill_count,stars,forks,commits,contributors
Python,10,x-cmd/skill,246,12,4,,
Python,11,gtmagents/gtm-agents,244,88,13,,
Python,12,datadrivenconstruction/DDC_Skills_for_AI_Agents_in_Construction,221,43,12,,
Python,13,lifangda/claude-plugins,214,26,5,,
Python,14,ArabelaTso/Skills-4-SE,187,16,2,,
Python,15,malue-ai/dazee-small,174,23,0,,
Python,16,K-Dense-AI/claude-scientific-skills,173,9279,1095,,
Python,17,alirezarezvani/claude-skills,171,1965,236,,
Python,18,guia-matthieu/clawfu-skills,169,22,4,,
Python,19,bobmatnyc/claude-mpm-skills,160,15,5,,
Python,20,parcadei/Continuous-Claude-v3,160,3563,273,,
Python,21,wshobson/agents,146,29356,3213,,
Python,22,openakita/openakita,143,720,75,,
Python,23,OneWave-AI/claude-skills,131,38,6,,
