rank,repo,skill_count,mainLanguage,stars,forks,commits,contributors
428,ai-debugger-inc/aidb,10,Python,13,1,,
429,hamr0/liteagents,10,JavaScript,11,2,,
430,hAcKlyc/MyAgents,10,TypeScript,45,6,,
431,cooragent/Clarity,10,Python,45,11,,
432,Hmbown/rlmagents,10,Python,36,0,,
433,mtymek/opencode-obsidian,10,TypeScript,370,31,,
434,genlayerlabs/genlayer-studio,10,Python,88,32,,
435,gadievron/raptor,10,Python,1183,140,,
436,ricardoquesada/regenerator2000,10,Rust,24,2,,
437,mofa-org/mofa-studio,10,Rust,11,24,,
438,atman-33/openspec-for-copilot,10,TypeScript,11,3,,
439,Goldziher/ai-rulez,10,Go,89,7,,
440,DaveSkender/Stock.Indicators,10,C#,1182,265,,
441,dojoengine/dojo.js,10,TypeScript,37,55,,
442,debba/tabularis,10,TypeScript,278,15,,
443,arun-gupta/agentic-tictactoe,10,Python,11,1,,
444,miroapp/miro-ai,10,TypeScript,61,4,,
445,google-gemini/gemini-cli,10,TypeScript,95646,11627,,
446,Azure-Samples/art-voice-agent-accelerator,10,Python,58,47,,
447,weibaohui/kom,10,Go,146,33,,
448,ChicagoHAI/idea-explorer,10,Python,23,2,,
449,microsoft/agent-framework,10,Python,7443,1215,,
450,JaguarJack/catch-admin,10,PHP,889,137,,
451,SAP/e-mobility-charging-stations-simulator,10,TypeScript,208,89,,
452,raphaelmansuy/edgequake,10,Rust,616,78,,
453,victorgarciaesgi/regle,10,TypeScript,405,13,,
454,ClipboardHealth/core-utils,10,TypeScript,30,4,,
455,rickdotnet/Momus,10,C#,11,0,,
456,datavane/tis,10,Java,1282,276,,
457,celltype/cli,10,Python,147,26,,
458,involvex/youtube-music-cli,10,TypeScript,221,12,,
459,FHIR/sql-on-fhir-v2,10,JavaScript,126,34,,
460,chu2bard/pinion-os,10,TypeScript,389,26,,
461,huajian123/ng-antd-admin,10,TypeScript,703,170,,
462,pymc-labs/CausalPy,10,Python,1106,96,,
463,quan0715/QJudge,10,TypeScript,26,0,,
464,cyberfabric/cyber-pilot,10,Python,24,2,,
465,nicofretti/DataGenFlow,10,Python,26,9,,
466,bgauryy/octocode-mcp,10,TypeScript,734,58,,
467,norman-finance/norman-mcp-server,10,Python,17,11,,
468,nex-agi/NexAU,10,Python,47,11,,
469,besidka/besidka,10,TypeScript,25,1,,
470,nouamanecodes/lettactl,10,TypeScript,37,4,,
471,incubateur-ademe/benefriches,10,TypeScript,44,2,,
472,ntno/mkdocs-terminal,10,Python,302,20,,
473,LibPDF-js/core,10,TypeScript,1570,42,,
474,novotnyllc/dotnet-artisan,10,Python,164,9,,
475,tomkrikorian/visionOSAgents,10,Python,42,4,,
476,hscspring/create-vibe-app,10,Python,39,8,,
477,oodaris/autocodex,10,Go,11,0,,
478,blockscout/mcp-server,10,Python,32,17,,
479,a554b554/EAML,10,Python,40,9,,
480,jewbetcha/openflight,10,Python,88,10,,
481,kdcokenny/opencode-workspace,10,TypeScript,156,13,,
482,knowns-dev/knowns,10,TypeScript,102,19,,
483,accomplish-ai/accomplish,10,TypeScript,8855,893,,
484,AizenvoltPrime/damocles,10,TypeScript,45,3,,
485,suitedaces/dorabot,10,TypeScript,120,14,,
486,MoonshotAI/kimi-cli,10,Python,6769,649,,
487,fjrevoredo/mini-diarium,10,Rust,209,10,,
488,sirkirby/unifi-network-rules,9,Python,49,6,,
489,sirkirby/unifi-network-mcp,9,Python,170,33,,
490,suyashb734/cliagents,9,JavaScript,14,2,,
491,oursky/skytest-agent,9,TypeScript,15,1,,
492,tari-project/tari-ootle,9,Rust,22,25,,
493,washanhanzi/connectrpc-axum,9,Rust,19,1,,
494,apache/beam,9,Java,8497,4516,,
495,dust-tt/dust,9,TypeScript,1296,215,,
496,duongductrong/cursor-kit,9,TypeScript,10,1,,
497,Azure/azure-sdk-for-net,9,C#,5939,5118,,
